"","AdText","Affiliation","AffililationNum","AffililationObj"
"1","Join us because we care. Black matters.","Liberal","0.242953836917877","list(Conservative = 0.202351987361908, Green = 0.29984849691391, Liberal = 0.242953836917877, Libertarian = 0.254845678806305)"
"2","NOT EVERY BOY WANTS TO BE A SOLDIER. A beautiful message was seen on the streets of the capitol,. with no group name or credits attached to the project. It was the poster at top, of the bearded man in a pink gown behaving like a queen and holding a sign saying ""Not every boy wants to be a soldier"". A timely message for today. The two recent U.S. wars were costly for our nation; to put it lightly. They led to domestic devastation of country. No matter what Defense Secretary or POTUS are saying they don't fool me with promises of gay military equality as key to the nation's agenda. Better talk to me about cutting DoD's budget. FOLKS. #Igbt #USarmy #CrossDress #GaySoldier #Obama #DefenseBudget #StopWar","Conservative","0.401488572359085","list(Conservative = 0.401488572359085, Green = 0.00976417120546103, Liberal = 0.349094718694687, Libertarian = 0.239652559161186)"
"3","""People can tolerate two homosexuals they see leaving together, but the next  day they're smiling, holding hands, tenderly embracing one another, then they  cannot be forgiven. It is not the departure for pleasure that is unacceptable, it  is waking up happy.""  -Michel Foucault, philosopher and social critic.  #lgbt #homophobia #Foucault #society #queerquote","Liberal","0.735097587108612","list(Conservative = 0.227148860692978, Green = 0.00185358710587025, Liberal = 0.735097587108612, Libertarian = 0.0358999744057655)"
"4","?????? ??? ????? ? ??????????","Conservative","0.387359112501144","list(Conservative = 0.387359112501144, Green = 0.118474327027798, Liberal = 0.16365984082222, Libertarian = 0.330506682395935)"
"5","California... knows how to party California... knows how to party In the citaaay of L.A. In the citaaay of good of Watts In the citaaay, the city of Compton We keep it rockin! We keep it rockin! - 2Pac - California Love","Conservative","0.221270531415939","list(Conservative = 0.221270531415939, Green = 0.343350023031235, Liberal = 0.144307270646095, Libertarian = 0.291072249412537)"
"6","Since 2010, over 350 of our lives have been taken at the hands of police. Those lives of which, were made to be worthless because of our race. Each time we die, many of your people, and those who stand by you, justify the taking of our lives, because they believe we are not human, and are not worthy of life. Why should we be a target for police violence and harassment?","Liberal","0.476070731878281","list(Conservative = 0.0824166238307953, Green = 0.0729432255029678, Liberal = 0.476070731878281, Libertarian = 0.368569374084473)"
"7","'Just like Trayvon Martin, race mattered for Amadou Diallo, Oscar Grant, Sean Bell, Emmett Till, and [thousands] more we will never know the name of who died because of their skin color."" - Angela Davis.        Racism is still alive in the USA.","Conservative","0.205338686704636","list(Conservative = 0.205338686704636, Green = 0.422894209623337, Liberal = 0.194163039326668, Libertarian = 0.177604049444199)"
"8","Race war started by Texas teacher A Texas fourth-grade teacher Karen Fitzgibbons published a racial Facebook post in which she confirmed that Black people are responsible for racial tensions in the USA. Moreover she claimed that she is ""almost to the point"" of defending the segregation. After her post about the recent pool party incident drew local attention, the teacher deleted her profile. ""This makes me ANGRY! This officer should not have had to resign. I'm going to just go ahead and say it....the blacks are the ones causing the problems and this ̀ racial tension. I guess that's what happens when you flunk out of school and have no education. I'm sure their parents are just as guilty for not knowing what their kids were doing; or knew it and didn't care,"" she wrote. She also added,""I'm almost to the point of wanting them all segregated on one side of town so they can hurt each other and leave the innocent people alone. Maybe the 50s and 60s were really on to something. Now, let the bashing of my true and honest opinion begin .... GO! #imnotracist #imsickofthemcausingtrouble #itwasagatedcommunity"". As we see Karen Fitzgibbons is a real racist, who approves the humiliation of black people! This news clearly reflects that American society is close to collapse, if not to say to war. As the authorities are doing nothing to resolve the situation, in the near future we may face real race war within our country.","Conservative","0.412608534097672","list(Conservative = 0.412608534097672, Green = 0.0060647064819932, Liberal = 0.239645153284073, Libertarian = 0.341681599617004)"
"9","The image of 1938 shows several African American Youths dangling around the stairs leading up to the back entrance of a segregated movie theater in Anniston, Alabama.That day the Tarzan film, Call of the Savage was shown.","Liberal","0.344277143478394","list(Conservative = 0.0570648498833179, Green = 0.435408413410187, Liberal = 0.344277143478394, Libertarian = 0.163249552249908)"
"10","American Racists On The Road        The racists group of America ""Back To The Blue"" are organizing a hate rally in response to the public outcry and protests against police officers. ""Bikers-patriots"" want to descend on the McKinney Police HQ in a show of solidarity for the police because race-baiters and cop-haters. They plan to have ""the biggest thing to happen in Patriot Movement since the Bundy Ranch victory!"" It seems like we won't get into ""post-racial America"".... this event and the regular murder of innocent Black children by white supremacist police and citizens makes that clear. The modern government has brought racist America to the forefront, good or bad. This is something that America has a serious issue with - RACISM! Is it time to call out the national guard?","Liberal","0.474619209766388","list(Conservative = 0.136013865470886, Green = 0.00206462177447975, Liberal = 0.474619209766388, Libertarian = 0.387302368879318)"
