Clicks,Impressions,CreationDate,EndDate,PeopleWhoMatch,AdSpend,AdSpendCurrency
35,452,06/23/15 07:04:01 AM PDT,06/24/15 07:04:00 AM PDT,LGBT United,18481,RUB
26,374,06/23/15 07:02:40 AM PDT,06/24/15 07:02:39 AM PDT,LGBT United,9995,RUB
18,482,06/15/15 07:21:33 AM PDT,06/16/15 07:21:33 AM PDT,Black Matters,9065,RUB
24,524,06/15/15 07:22:00 AM PDT,06/16/15 07:21:59 AM PDT,Black Matters,8845,RUB
10,153,06/16/15 07:37:14 AM PDT,06/17/15 07:37:13 AM PDT,Black Matters,9007,RUB
42,745,06/17/15 07:41:34 AM PDT,06/18/15 07:41:33 AM PDT,Black Matters,17537,RUB
23,746,06/17/15 07:41:07 AM PDT,06/18/15 07:41:06 AM PDT,Black Matters,17531,RUB
97,1290,06/17/15 07:41:46 AM PDT,06/18/15 07:41:45 AM PDT,Black Matters,27036,RUB
55,1005,06/17/15 07:42:02 AM PDT,06/18/15 07:42:01 AM PDT,Black Matters,24856,RUB
274,5072,06/18/15 04:36:59 AM PDT,06/19/15 04:36:59 AM PDT,Black Matters,129548,RUB
46,866,06/18/15 02:50:25 AM PDT,06/19/15 02:50:24 AM PDT,Black Matters,19994,RUB
31,441,06/18/15 07:21:41 AM PDT,06/19/15 07:21:41 AM PDT,Black Matters,9173,RUB
59,708,06/23/15 07:41:01 AM PDT,,Black Matters,17392,RUB
48,759,06/23/15 07:41:21 AM PDT,06/24/15 07:41:20 AM PDT,Black Matters,25889,RUB
65,757,06/23/15 07:41:58 AM PDT,06/24/15 07:41:58 AM PDT,Black Matters,17435,RUB
57,581,06/23/15 07:42:12 AM PDT,06/24/15 07:42:11 AM PDT,Black Matters,17426,RUB
74,796,06/23/15 07:42:35 AM PDT,06/24/15 07:42:34 AM PDT,Black Matters,17402,RUB
23,412,06/23/15 07:42:57 AM PDT,06/24/15 07:42:56 AM PDT,Black Matters,17475,RUB
60,636,06/24/15 06:12:24 AM PDT,06/25/15 06:12:23 AM PDT,Black Matters,18905,RUB
0,0,06/24/15 06:03:43 AM PDT,06/25/15 06:03:42 AM PDT,Black Matters,,
12,71,06/24/15 06:53:54 AM PDT,06/25/15 06:53:54 AM PDT,Black Matters,2275,RUB
42,332,06/25/15 08:10:53 AM PDT,06/26/15 08:10:53 AM PDT,Black Matters,8149,RUB
12,215,06/25/15 08:10:19 AM PDT,06/26/15 08-10-18 AM PDT,Black Matters,7957,RUB
73,733,06/23/15 07:43:14 AM PDT,06/24/15 07:43:14 AM PDT,Black Matters,17341,RUB
83,1012,06/23/15 07:43:35 AM PDT,06/24/15 07:43:35 AM PDT,Black Matters,26108,RUB
0,0,06/24/15 12:15:01 AM PDT,06/25/15 12:15:00 AM PDT,Black Matters,,
72,755,06/23/15 07:43:51 AM PDT,06/24/15 07:43:50 AM PDT,Black Matters,17357,RUB
0,0,06/18/15 02:49:23 AM PDT,06/19/15 02:49:23 AM PDT,Black Matters,,
25,633,06/23/15 07:03:29 AM PDT,06/24/15 07:03:28 AM PDT,LGBT United,17989,RUB
49,691,06/23/15 07:03:47 AM PDT,06/24/15 07:03:47 AM PDT,LGBT United,18393,RUB
150,1484,06/23/15 07:04:59 AM PDT,06/24/15 07:04:59 AM PDT,LGBT United,36834,RUB
1,30,06/23/15 07:04:39 AM PDT,06/24/15 07:04:39 AM PDT,LGBT United,915,RUB
80,791,06/23/15 07:33:17 AM PDT,06/24/15 07:33:17 AM PDT,LGBT United,18149,RUB
0,0,06/24/15 07:15:12 AM PDT,06/25/15 07:15:12 AM PDT,LGBT United,,
3,118,06/24/15 07:15:44 AM PDT,06/25/15 07:15:43 AM PDT,LGBT United,4294,RUB
12,102,06/24/15 07:16:43 AM PDT,06/25/15 07:16:43 AM PDT,LGBT United,5313,RUB
61,920,06/25/15 04:16:59 AM PDT,06/26/15 04:16:59 AM PDT,LGBT United,400,RUB
74,1038,06/25/15 04:17:19 AM PDT,06/26/15 04:17:19 AM PDT,LGBT United,400,RUB
37,365,06/23/15 07:03:13 AM PDT,06/24/15 07:03:12 AM PDT,LGBT United,9181,RUB
39,645,06/25/15 04:26:40 AM PDT,06/26/15 04:26:40 AM PDT,LGBT United,26987,RUB
0,0,07/08/15 07:23:45 AM PDT,07/10/15 05:23:00 PM PDT,Black Matters,,
52,635,07/15/15 08:28:48 AM PDT,07/16/15 08:28:48 AM PDT,Being Patriotic,8079,RUB
41,975,07/17/15 12:55:09 AM PDT,07/20/15 12:55:08 AM PDT,Being Patriotic,46156,RUB
67,467,07/15/15 03:40:04 AM PDT,07/17/15 03:40:04 AM PDT,LGBT United,11659,RUB
30,280,07/15/15 03:40:52 AM PDT,07/17/15 03:40:51 AM PDT,LGBT United,12029,RUB
464,3274,07/16/15 01:46:23 AM PDT,07/17/15 01:46:23 AM PDT,LGBT United,500,RUB
91,865,07/16/15 01:45:49 AM PDT,07/17/15 01:45:49 AM PDT,LGBT United,29993,RUB
229,2109,07/10/15 05:36:04 AM PDT,07/11/1505:36:03AM PDT,LGBT United,600,RUB
421,3359,07/09/15 07:00:23 AM PDT,07/11/1507:00:00AM PDT,LGBT United,500,RUB
156,1400,07/10/15 05:35:23 AM PDT,07/11/15 05:35:23 AM PDT,LGBT United,400,RUB
47,520,07/09/15 06:59:52 AM PDT,07/10/15 06:59:51 AM PDT,LGBT United,15389,RUB
44,311,07/08/15 07:26:12 AM PDT,07/10/15 07:26:00 AM PDT,LGBT United,14151,RUB
2042,6675,07/10/15 06:14:07 AM PDT,07/13/15 06:14:07 AM PDT,LGBT United,45212,RUB
0,0,07/10/15 05:35:43 AM PDT,07/11/15 05:35:42 AM PDT,LGBT United,,
