class,text
LGBT United,"NOT EVERY BOY WANTS TO BE A SOLDIER. A beautiful message was seen on the streets of the capitol,. with no group name or credits attached to the project. It was the poster at top, of the bearded man in a pink gown behaving like a queen and holding a sign saying ""Not every boy wants to be a soldier"". A timely message for today. The two recent U.S. wars were costly for our nation; to put it lightly. They led to domestic devastation of country. No matter what Defense Secretary or POTUS are saying they don't fool me with promises of gay military equality as key to the nation's agenda. Better talk to me about cutting DoD's budget. FOLKS. #Igbt #USarmy #CrossDress #GaySoldier #Obama #DefenseBudget #StopWar"
LGBT United,"""People can tolerate two homosexuals they see leaving together, but the next  day they're smiling, holding hands, tenderly embracing one another, then they  cannot be forgiven. It is not the departure for pleasure that is unacceptable, it  is waking up happy.""  -Michel Foucault, philosopher and social critic.  #lgbt #homophobia #Foucault #society #queerquote"
Black Matters,"The image of 1938 shows several African American Youths dangling around the stairs leading up to the back entrance of a segregated movie theater in Anniston, Alabama.That day the Tarzan film, Call of the Savage was shown."
Black Matters,"American Racists On The Road        The racists group of America ""Back To The Blue"" are organizing a hate rally in response to the public outcry and protests against police officers. ""Bikers-patriots"" want to descend on the McKinney Police HQ in a show of solidarity for the police because race-baiters and cop-haters. They plan to have ""the biggest thing to happen in Patriot Movement since the Bundy Ranch victory!"" It seems like we won't get into ""post-racial America"".... this event and the regular murder of innocent Black children by white supremacist police and citizens makes that clear. The modern government has brought racist America to the forefront, good or bad. This is something that America has a serious issue with - RACISM! Is it time to call out the national guard?"
Black Matters,"Today we celebrate the legendary rapper who ever lived: Happy B-day, Tupac! The greatest of all time rapper is known not only for his music but for the wise words he spoke and his strength in standing up against oppression. His real name was Lesane Parish Crooks. Shakur was only 25 years old at the time he was shot and killed in 1996. His killer has never been caught. We will never forget 2Pac. Today we remember him on what would've been his 44th Birthday."
Black Matters,Americans so much effort to hate each other instead of putting the effort into doing something useful. Stop racism! We all belong to ONE HUMAN RACE.
Black Matters,"No national outrage for an incident at pool party where a black teen was shot to death        Today, the pool party in Georgia is even more shocking than a recent pool party in Texas. A young man from Georgia was shot to death at a pool party at Fayette. It was an advertised on social 200 teenager's pool party which ended up with shootings of unknown assailant for unknown reasons. One of the five injured, a 19-year-old black teenager Clanton passed away on the way to hospital. In fact, the media has not made a transparent effort to cover up the incident. Why the pool party in Georgia is a silent story? Why the police was not aware of a large party? Why this story has no national outrage? Is it ok when a black teenager dies? Unfortunately, the responding police officers were not able to prevent the tragedy. From these facts one might conclude, police officers know the easiest ways to arrest people, but they are irresponsible to avoid the shootings at the average pool party."
Black Matters,"A 13-year-old child was tasered by cop for skateboarding        A San Diego sheriff's deputy was filmed tasering 13-year-old child in the spine for skateboarding. Witnesses reported that the cop tried to force them to delete videos from their phones. Videos show how the child writhes in agony from being tased. Police said that the child ran away from home and was missing for a day-and-half. However it doesn't give the reason to taser a child. We see another case of police misconduct, when the policeman actually attacked the child. This case should reach the court, because the child hasn't done anything unlawful. The policeman exceeded his powers and used force against a child. So he should be punished. Before the trial nothing's gonna change and cops are about to do whatever they want. The task of all Americans who have witnessed police brutality is to extend all the information about it in order to reach out the government and the court."
Black Matters,"Only 9 days this year nobody was killed by police        According to data from Mapping Police Violence there are only 9 days this calendar year when nobody was killed by police in the USA. Since January 1, 2015 at least 508 people have now been killed by policemen. Moreover, analyzing all deaths caused by police, African-American and Hispanic people are more likely to be killed than Whites. Figures show that the index of deaths for black people is 3.45 per million, while for whites it is 1.26 per million. Add here military-style equipment and non-lethal weapons, given to cops. And only 0.02 per cent of the nation's police forces are investigated each year. Only 0.02! That means, US policemen are immune from criminal changes in their killings. That's why they carry out their daily police raids to destroy the population at the territories under their control."
Black Matters,"Sadness and shocking tragedy at historically black church in Charlestone *CLICK TO GET LIVE UPDATES ON OUR PAGE* A white gunman opened a fire at pastor and 8 other church members at black church in Charlestone, S.0 on Wednesday night. The young clean-shaved shooter walked in during a prayer meeting and started shooting the people. Charleston Police Chief Greg Mullen said that the incident would be investigated as hate crime. Emanuel AME Church is a historically Africa-American church which was found by Denmark Vesey in order to organize a slave revolt in 1822. Despite the first black American president, Africa-Americans remain the most common victims of hate crimes. But what if the hate crime relates to xenophobia? American xenophobia is based on the dominant white heritage that is giving birth to another form of hate and discrimination. These forms take another level of hate. Unfortunately, American tolerance is not what we think it is. US public is swapping patriotism for nationalism, tolerance for Islamophobia, racism and anti-immigrant sentiment. For instance, last February American gunman killed three young Muslims two miles away from the University of North Carolina campus. Was this gunman motivated by hate and intolerance? Should we expect for more hate-crimes? What if American racial change still occurs through generations? What of it racism happens due to unequal opportunities? What if America is still a deeply racist country? What if the church is not a safe place anymore? #CharlestonShooting #chsnews"
Black Matters,"Rachel Dolezal is wearing the other persons shoes. Rachel Dolezal drew attention to her racial identification. A white-born former NAACP leader claimed to be black. The criticism towards Dolezal stems controversy around her identity and her position as the president of the NAACP in Washington. Today. Dolezal sees herself as first transracial. Rachel Dolezal stated that her racial identity was black, American Indian; white and two more races. Moreover if she proves that she is black; than anyone else will be able to prove that he/she is not even a human being. What do you think about her? What kind of rights should she have?"
Black Matters,"The violent pool story #3. White police officer slammed black teen against his        car This black family from Ohio will never forget the June 9th. According to the family's testimony, Krystal Dixon and her sister Maya Dixon took their eight children, nephews and nieces to Ohio public school in a Fairfield. Nevertheless, the pool employee demanded the family to leave due to one of the children did not have swim trunks. One of the boys broke the rules and the staff asked the family to leave. As six-months pregnant Krystal Dixon walked to the parking lot, the police officer grabbed her arm and asked for an ID-card. The witness video shows how the police officer pepper sprayed Dixon's family and grabbed 12-year-old child by neck. But according to the Fairfield police department, the white police officer did not use excessive force. Did the pool staff force them to leave because they were black? Was it a race factor? Don't you think the police officer's attempt to arrest Krystal Dixon was unlawful? How the police officers should be charged? What kind of right of defense do you have against unlawful arrests? These days, there is far more to being a ""good cop"" than choosing not to hurt innocent people. Plus, when are we going to stop being stereotypical? Even today, the stereotypes effect black population of the United States of America transmitted through music, lyrics, titles, literature, movies and folk saying. White Americans across the country embrace African-Americans the image of criminals and looters. How are we going to live with that?"
Black Matters,What else has to happen for you all to realize black lives matter?
Black Matters,"Thousands Walk Hand In Hand Across Ravenel Bridge To Show Support For Mother Emanuel Church On Sunday evening, hours after Emanuel A.M.E. Church opened its doors for the first service following the killing of nine of its congregants Wednesday, thousands in Charleston took to the streets in a show of support and solidarity. Observers on the bridge, and thousands more at the base, joined hands to create a ""unity chain,"" then held a moment of silence that lasted five minutes in honor of the fallen. Police estimated that 10,000 to 15,000 took part in Sunday's gathering, according to the Post and Courier. Cars drove slowly past the bridge, taking in the sight and honking horns in solidarity as people chanted ""Charleston strong!"" Throughout history people start to unite only when they face danger or when they're in times of great sorrow. Modern America is accustomed to meet only imaginary dangers, however, Americans are getting more and more reasons to sorrow over something day by day. Does it mean that the key to the unity of 330 million Americans is constant fear and unending sorrow? Does it mean that only this can make Americans unite and forget about the infighting and differences? Unfortunately, yes, it does."
Black Matters,"Whatever the white man has done. Black Americans have done, and often even better. Miss Black America in 1969."
Black Matters,"How many of you believe in Black Jesus?        There is quite a big number of people arguing about ethnicity of Jesus Christ. Was Jesus white, olive-skinned or black? The Coptic Museum in Cairo, Egypt owns the earliest painting of Jesus Christ in the Church of Rome (6th century) where skin color of Jesus was black."
Black Matters,Black is beautiful. God knows what he is doing. The Black skin is a glorious symbol of national greatness.
Black Matters,"A small group of activists burned two confederate flags in response to shooting in Charleston, South Carolina.        Why the symbol of the pro-slavery rebellion is still flying on the ground of South Carolina? Why the symbol of white supremacy is still flying on the South Carolina statehouse in Columbia? Why the flag that represents the murder of blacks was not removed from the national statehouse? The confederate flag represents terrorism, reminding us about the slavery time, racism and people that were murdered in a hate-crime. Today, we ask to remove this symbol of racism that flies 120 miles away from the Emanuel African Methodist Episcopal Church in Charleston. Yes, we must wipe off every single symbol of racism from the United States of America including the confederate flag, KKK and other racist organizations. We must give new names to the streets which were named after racist political figures and slave traders. We must remove monuments dedicated to Andrew Jackson, Robert Lee, Benjamin Huger, James Longstreet who owned slaves on their farms. How can we ever expect to get the racist symbols removed until we show ourselves to be men the same as any other race of men?"
Black Matters,"African-American soldiers played a decisive role in the US Army on the western frontier during the Plains Wars, but it's not mentioned in our history books."
Black Matters,"Cornel West on Obama: ""The First Black President Has Become The First Niggerized Black President""        Reacting to President Obama's use of the n-word on Marc Maron's podcast, Cornel West called him the first ""niggerized"" president in an appearance on CNN. West criticized Obama as ""a person who is afraid and intimidated when it comes to putting a spotlight on white supremacy."" ""A niggerized black person is a black person who is afraid and scared and intimidated when it comes to putting a spotlight on white supremacy and fighting against white supremacy,"" West explained. ""So when many of us said we have to fight against racism, what were we told? 'No, he can't deal with racism because he has other issues, political calculations. He's the president of all America, not just black America.' We know he's president of all America but white supremacy is American as cherry pie."" West is right as usual. African minorities would choose Mr. West in 2009 and 2012 instead of Obama. But we had no choice. Cornel is a good leader, he knows what black community is suffering from. Obama was promoted by big corporations owned by white people. Obama never tried to protect blacks from police pressure, never tried to stop police violence against blacks. Just count how many black lives were destroyed during his presidency. The number is horrific."
Black Matters,"Autopsy Says Freddie Gray Died After Sustaining 'High-Energy Injury' in Police Van        The Baltimore state medical examiner's office has found that Freddie Gray likely died from a single ""high-energy injury"" sustained as he rode shackled in the back of a police van on the day of his arrest, according to an autopsy report obtained by the Baltimore Sun. The autopsy report suggested that Gray may have attempted to stand up during the van ride, and that the injury could have occurred as he was thrown against the van wall when the vehicle changed direction. Like really? When police took Gray to the hospital, doctors determined that he had sustained a severed spine and crushed voice box. High-energy injury? We don't think so. It's hard to believe. Do they think we're idiots or something? Cops imprison you, shoot you, sever your spine, crush your larynx, send you to war, keep you poor, call you a thug and get away with it. There's no excuse for what happened to Freddie."
Black Matters,"Ella Baker. The woman behind the scenes. Not many of you will probably be able to recognize Ella Baker, who was a hero of the civil rights Freedom Movement, racial and economic injustice for five decades. Her job was to put together the pieces in order to create a strong organization in the face of racism and injustice. She played a key role in NAACP; Student Nonviolent Coordinating Committee and Martin Luther King's Southern Christian Leadership Conference."
Black Matters,Black Matters
Black Matters,"Philosophy of African-American activist Huey Newton        Huey Newton was an African-American political activist and a leader of generation of black, best known for founding the militant Black Panther Party in 1966. As a child, Newton experienced racial discrimination that influenced him to create the Black Panther Party as a voice of black people. His party grew up to a size of 5,000 full time party workers in 45 branches across America and inspired generation in North America to join the struggle against oppression. But he was shot to death in August 1989."
Black Matters,"More riots are coming this summer ... unless What is the most important thing the government must to do this year in order our country to live in peace? The criminal justice system is very important institution where law enforcement investigate a crime gathering evidences to identify the presumed perpetrator ensuring that rights of the convicted are respected. But what if American criminal justice reform outdated and the country need to focus on a renewed sense of justice? What if disproportionate punishment is the main challenge of the criminal justice system? Disproportionate punishments known far and wide across the United States of America. Consequently, the victim's skin color plays a crucial role in deciding what kind of punishment he will receive. For instance, you are more likely to be sentenced to death if you have killed a white person. Frankly speaking, if the government wants to keep the country away from the summer urban riots, then they must think about the living standards of black population that is several times below the living standards of white people in America. In addition, the White House must reduce the unemployment rates of black population by revising the hiring policy for black Americans. Therefore, if we want a life's balance, the government have to reconsider all these things, because Black Americans lives matter."
